date, pm25, pm10, o3, no2, so2, co
2025/4/1,79,51,64,14,1,4
2025/4/2,118,37,40,13,1,3
2025/4/3,92,39,61,12,1,3
2025/4/4,83,52,68,15,1,5
2025/4/5,121,57,59,18,2,5
2025/4/6,141,54,78,13,2,4
2025/4/7,120,63,80,17,2,6
2025/4/8,118,68,90,20,2,7
2025/4/9,147,62,55,21,2,6
2025/4/10,148,58,43,20,3,5
2025/4/11,135,108,41,7,1,4
2025/4/12,82,91,40,6,1,3
2025/4/13,74,76,46,9,1,4
2025/4/14,78,48,62,13,1,5
2025/4/15,74,64,87,18,2,5
2025/4/16,92,64,57,17,1,4
2025/4/17,94,59,77,11,1,4
2025/4/18,97,51,55,8,1,4
2025/4/19,90,45,51,11,1,6
2025/4/20,100,33,44,8,1,4
2025/4/21,80,46,43,10,1,6
2025/4/22,121,57,88,13,1,6
2025/4/23,128,72,74,22,2,6
2025/4/24,149,51,41,11,1,2
2025/4/25,56,40,46,10,1,2
2025/4/26,53,38,42,13,1,3
2025/4/27,61,40,52,17,1,5
2025/4/28,94,40,55,12,1,3
2025/4/29,76,48,78,9,1,3
2025/4/30,70,50,58,9,1,5
2025/5/1,97,54,87,7,1,4
2025/5/2,86,48,54,5,1,5
2025/5/3,84,29,44,6,1,3
2025/5/4,47,31,36,8,1,5
2025/5/5,66,70,65,9,1,6
2025/5/6,135,57,54,7,1,3
2025/5/7,75,49,44,6,1,3
2025/5/8,61,21,43,6,1,3
2025/5/9,43,42,52,10,1,4
2025/5/10,76,33,65,7,2,3
2025/5/11,77,46,85,11,2,3
2025/5/12,100,46,85,6,2,3
2025/5/13,77,36,88,7,1,3
2025/5/14,70,42,65,15,1,4
2025/5/15,80,35,32,11,1,5
2025/5/16,96,47,70,13,1,6
2025/5/17,121,67,41,10,1,3
2025/5/18,78,37,66,11,2,4
2025/5/19,87,37,32,13,2,5
2025/5/20,100,31,32,14,2,7
2025/5/21,86,32,57,16,2,7
2025/5/22,83,9,33,7,2,6
2025/5/23,27,42,57,8,2,6
2025/5/24,94,40,60,12,3,7
2025/5/25,88,35,61,9,2,4
2025/5/26,82,34,63,7,2,3
2025/5/27,75,32,54,8,2,3
2025/5/28,68,31,54,8,2,3
2025/5/29,75,46,94,9,2,4
2025/5/30,111,47,76,8,2,4
2025/5/31,110,13,60,3,1,3
2025/6/1,41,12,38,8,1,4
2025/6/2,46,31,79,8,2,5
2025/6/3,78,53,114,11,2,5
2025/6/4,131,40,99,13,2,3
2025/6/5,80,43,88,6,2,3
2025/6/6,73,29,26,13,1,4
2025/6/7,73,15,36,8,1,3
2025/6/8,46,15,27,12,1,4
2025/6/9,48,20,24,11,1,4
2025/6/10,58,20,33,10,1,3
2025/6/11,63,16,36,8,1,3
2025/6/12,35,11,9,7, ,3
2025/6/13,34,27,45,9,1,4
2025/6/14,74,13,22,5,1,4
2025/6/15,38,26,77,5,1,3
2025/6/16,51,51,119,10,2,4
2025/6/17,91,47,70,12,2,3
2025/6/18,81,34,47,12,2,2
2025/6/19,79,23,39,7,2,1
2025/6/20,55,26,42,7,1,1
2025/6/21,61,9,37,6,1,1
2025/6/22,28,8,36,5, ,1
2025/6/23,8,19,35,6,1,3
2025/1/1,64,30,30,24,1,3
